veh_inc,p_DistLrg,a_DistLrg,total_trips
HBW_0veh_hi,9,9,64.44814
HBW_0veh_hi,9,12,326.9112336
HBW_0veh_hi,9,14,257.79256
HBW_0veh_hi,12,11,46.72048016
HBW_0veh_hi,12,12,371.6794748
HBW_0veh_hi,12,14,241.5178638
HBW_0veh_hi,12,17,45.3759824
HBW_0veh_hi,13,9,11.04801433
HBW_0veh_hi,13,12,93.11708565
HBW_0veh_hi,13,13,459.83901834
HBW_0veh_hi,13,14,131.360728074
HBW_0veh_hi,14,12,120.01278256
HBW_0veh_hi,14,13,112.98166535
HBW_0veh_hi,14,14,1556.2816414220001
HBW_0veh_hi,14,17,12.431942
HBW_0veh_hi,14,21,12.431942
HBW_0veh_hi,14,22,6.215971
HBW_0veh_hi,16,12,47.64510668
HBW_0veh_hi,16,16,1143.4021096000001
HBW_0veh_hi,17,17,166.6180908
HBW_0veh_hi,21,20,24.321762
HBW_0veh_hi,21,21,791.8579431200001
HBW_0veh_hi,24,22,260.00646
HBW_0veh_lo,1,4,125.3887642
HBW_0veh_lo,4,4,545.1873618
HBW_0veh_lo,5,4,234.638635
HBW_0veh_lo,5,5,411.26851651799996
HBW_0veh_lo,8,8,2047.8015
HBW_0veh_lo,9,9,513.813474
HBW_0veh_lo,9,12,258.931696
HBW_0veh_lo,9,13,202.860872
HBW_0veh_lo,11,11,133.3302352
HBW_0veh_lo,12,11,942.8601679999999
HBW_0veh_lo,12,12,780.11790612
HBW_0veh_lo,12,13,35.72937333
HBW_0veh_lo,12,14,1099.27046664
HBW_0veh_lo,13,12,604.89546564
HBW_0veh_lo,13,13,497.1147241
HBW_0veh_lo,13,14,907.305904638
HBW_0veh_lo,14,12,397.1336225
HBW_0veh_lo,14,13,672.77747629
HBW_0veh_lo,14,14,1233.030217718
HBW_0veh_lo,14,16,31.202385332
HBW_0veh_lo,14,17,22.462995999
HBW_0veh_lo,15,16,842.503168
HBW_0veh_lo,16,14,736.8022768
HBW_0veh_lo,16,16,1024.1969933999999
HBW_0veh_lo,17,12,77.50780656
HBW_0veh_lo,17,16,337.1663848
HBW_0veh_lo,17,17,39.852053999999995
HBW_0veh_lo,20,20,533.6711854
HBW_0veh_lo,21,20,788.5462232
HBW_0veh_lo,21,21,1344.830986097
HBW_0veh_lo,22,21,3.183193333
HBW_0veh_lo,22,22,233.466705598
HBW_1veh_hi,1,1,525.2700619999999
HBW_1veh_hi,1,4,145.56335192999998
HBW_1veh_hi,1,5,11.26765833
HBW_1veh_hi,1,8,70.41815264
HBW_1veh_hi,4,4,3559.25551599
HBW_1veh_hi,4,5,1019.42780113
HBW_1veh_hi,4,8,679.61504794
HBW_1veh_hi,4,9,45.8083008
HBW_1veh_hi,4,11,133.58023002000002
HBW_1veh_hi,4,12,67.99290501
HBW_1veh_hi,4,13,603.05519867
HBW_1veh_hi,4,20,35.57185667
HBW_1veh_hi,4,22,43.98971667
HBW_1veh_hi,5,4,6800.94584853
HBW_1veh_hi,5,5,3686.778036221
HBW_1veh_hi,5,8,609.24824585
HBW_1veh_hi,5,9,135.8216508
HBW_1veh_hi,5,12,977.7793224
HBW_1veh_hi,5,13,23.216006334
HBW_1veh_hi,5,16,16.94854
HBW_1veh_hi,5,17,139.09188801
HBW_1veh_hi,8,4,315.36994665
HBW_1veh_hi,8,5,2330.0998899
HBW_1veh_hi,8,8,3712.64170957
HBW_1veh_hi,8,9,854.9426741999999
HBW_1veh_hi,8,12,840.97515785
HBW_1veh_hi,8,14,258.37833743
HBW_1veh_hi,8,16,95.18444667
HBW_1veh_hi,9,5,62.33757334
HBW_1veh_hi,9,8,335.957235
HBW_1veh_hi,9,9,1547.21826329
HBW_1veh_hi,9,11,483.4911776
HBW_1veh_hi,9,12,1042.29615281
HBW_1veh_hi,9,13,313.296225176
HBW_1veh_hi,9,14,965.7493692
HBW_1veh_hi,9,16,270.8458208
HBW_1veh_hi,9,21,209.3085144
HBW_1veh_hi,11,11,385.158728
HBW_1veh_hi,11,12,1051.43645066
HBW_1veh_hi,11,13,403.731671334
HBW_1veh_hi,12,8,155.0058304
HBW_1veh_hi,12,9,49.94779199999999
HBW_1veh_hi,12,11,75.44243507
HBW_1veh_hi,12,12,4986.5176947400005
HBW_1veh_hi,12,13,4223.35027374
HBW_1veh_hi,12,14,4931.60350476
HBW_1veh_hi,12,16,332.956477746
HBW_1veh_hi,12,17,165.61551952
HBW_1veh_hi,12,20,34.373558009999996
HBW_1veh_hi,12,21,241.4318332
HBW_1veh_hi,13,9,29.97029296
HBW_1veh_hi,13,11,188.92426
HBW_1veh_hi,13,12,629.43356055
HBW_1veh_hi,13,13,1535.12586269
HBW_1veh_hi,13,14,1084.57411355
HBW_1veh_hi,13,21,167.5302062
HBW_1veh_hi,14,8,180.34321078
HBW_1veh_hi,14,9,766.7677732
HBW_1veh_hi,14,11,224.87778776
HBW_1veh_hi,14,12,5501.644617727
HBW_1veh_hi,14,13,4559.4898419930005
HBW_1veh_hi,14,14,14495.956323997
HBW_1veh_hi,14,15,78.48183999
HBW_1veh_hi,14,16,1418.51031704
HBW_1veh_hi,14,17,2044.17111832
HBW_1veh_hi,14,20,197.03040736000003
HBW_1veh_hi,14,21,75.3569032
HBW_1veh_hi,15,12,194.37418
HBW_1veh_hi,15,13,42.61183808
HBW_1veh_hi,15,14,1208.36968508
HBW_1veh_hi,15,16,79.89087468
HBW_1veh_hi,15,20,517.5858856
HBW_1veh_hi,16,5,34.04660333
HBW_1veh_hi,16,9,48.89037667
HBW_1veh_hi,16,11,105.60671001
HBW_1veh_hi,16,12,1152.69501128
HBW_1veh_hi,16,13,376.51465828
HBW_1veh_hi,16,14,2742.10165399
HBW_1veh_hi,16,15,116.54546
HBW_1veh_hi,16,16,5671.73862397
HBW_1veh_hi,16,17,2261.78841452
HBW_1veh_hi,16,20,504.8687296
HBW_1veh_hi,16,21,218.2303064
HBW_1veh_hi,17,12,522.0990057600001
HBW_1veh_hi,17,13,2032.6863515799998
HBW_1veh_hi,17,14,2240.40341423
HBW_1veh_hi,17,15,114.229614
HBW_1veh_hi,17,16,1151.02236732
HBW_1veh_hi,17,17,1605.5597465
HBW_1veh_hi,17,18,66.34512
HBW_1veh_hi,17,20,442.212583
HBW_1veh_hi,17,21,222.73173787000002
HBW_1veh_hi,19,17,58.61863667
HBW_1veh_hi,19,19,222.75852999
HBW_1veh_hi,19,20,74.25284333
HBW_1veh_hi,20,12,289.0550864
HBW_1veh_hi,20,13,14.27389533
HBW_1veh_hi,20,14,261.03244
HBW_1veh_hi,20,15,531.36212666
HBW_1veh_hi,20,17,1136.2984311999999
HBW_1veh_hi,20,20,5330.67470761
HBW_1veh_hi,20,21,1634.1447634299998
HBW_1veh_hi,20,22,12.097795
HBW_1veh_hi,21,12,30.971507668999998
HBW_1veh_hi,21,13,89.84426332000001
HBW_1veh_hi,21,14,1433.2811728
HBW_1veh_hi,21,16,274.73029253
HBW_1veh_hi,21,19,145.3087928
HBW_1veh_hi,21,20,1795.55487227
HBW_1veh_hi,21,21,5928.723007613
HBW_1veh_hi,21,22,314.521015948
HBW_1veh_hi,22,12,79.2460968
HBW_1veh_hi,22,16,88.06379667
HBW_1veh_hi,22,20,80.78854
HBW_1veh_hi,22,21,1388.85123406
HBW_1veh_hi,22,22,1068.44355018
HBW_1veh_lo,1,1,952.4781824
HBW_1veh_lo,1,12,200.8860576
HBW_1veh_lo,4,4,4003.67504511
HBW_1veh_lo,4,5,2503.43979247
HBW_1veh_lo,4,8,876.2191392
HBW_1veh_lo,5,4,915.190657344
HBW_1veh_lo,5,5,4668.581323685
HBW_1veh_lo,5,8,1783.5326423479999
HBW_1veh_lo,5,12,17.34398533
HBW_1veh_lo,5,13,60.35660688
HBW_1veh_lo,5,14,125.00398100000001
HBW_1veh_lo,8,4,326.5743
HBW_1veh_lo,8,5,189.02524413
HBW_1veh_lo,8,8,2542.55009248
HBW_1veh_lo,8,17,88.3067712
HBW_1veh_lo,8,20,88.3067712
HBW_1veh_lo,8,21,36.21350333
HBW_1veh_lo,9,8,560.0952652
HBW_1veh_lo,9,9,3979.12759595
HBW_1veh_lo,9,13,199.76064
HBW_1veh_lo,9,14,2231.878801
HBW_1veh_lo,9,16,576.0198536
HBW_1veh_lo,11,11,110.42724912
HBW_1veh_lo,11,13,1163.6461931
HBW_1veh_lo,11,14,175.20082245999998
HBW_1veh_lo,11,17,497.7276784
HBW_1veh_lo,12,9,484.5297336
HBW_1veh_lo,12,11,1713.4715311999998
HBW_1veh_lo,12,12,4527.22543789
HBW_1veh_lo,12,13,1157.30667356
HBW_1veh_lo,12,14,3843.41731923
HBW_1veh_lo,12,15,114.4391888
HBW_1veh_lo,12,16,1269.83161968
HBW_1veh_lo,12,17,1334.19120565
HBW_1veh_lo,13,11,171.6973456
HBW_1veh_lo,13,13,537.751762633
HBW_1veh_lo,13,14,1027.847560262
HBW_1veh_lo,14,8,14.039429333000001
HBW_1veh_lo,14,9,433.7465644
HBW_1veh_lo,14,11,564.874558
HBW_1veh_lo,14,12,4514.60611376
HBW_1veh_lo,14,13,2424.801878972
HBW_1veh_lo,14,14,9351.377153412
HBW_1veh_lo,14,15,272.6469904
HBW_1veh_lo,14,16,1113.41437518
HBW_1veh_lo,14,17,1067.8610211280002
HBW_1veh_lo,14,20,122.56844934700001
HBW_1veh_lo,14,21,461.1933036
HBW_1veh_lo,15,12,913.72261913
HBW_1veh_lo,15,15,91.43660097
HBW_1veh_lo,15,16,71.11735630999999
HBW_1veh_lo,15,20,20.31924466
HBW_1veh_lo,16,11,103.506832
HBW_1veh_lo,16,12,1005.110336
HBW_1veh_lo,16,14,1126.594668
HBW_1veh_lo,16,16,2372.2507287
HBW_1veh_lo,16,17,2169.4850422
HBW_1veh_lo,17,11,97.6970576
HBW_1veh_lo,17,12,631.2523936
HBW_1veh_lo,17,13,183.95702842
HBW_1veh_lo,17,14,516.99926592
HBW_1veh_lo,17,15,233.6894968
HBW_1veh_lo,17,16,516.64946539
HBW_1veh_lo,17,17,211.72015196
HBW_1veh_lo,17,20,45.76548399
HBW_1veh_lo,19,20,24.52718333
HBW_1veh_lo,19,21,24.52718333
HBW_1veh_lo,20,17,145.132944
HBW_1veh_lo,20,20,913.71214215
HBW_1veh_lo,20,21,920.47068862
HBW_1veh_lo,20,25,158.06454668
HBW_1veh_lo,21,11,97.02642
HBW_1veh_lo,21,12,424.7097968
HBW_1veh_lo,21,13,114.038315
HBW_1veh_lo,21,14,268.46815782
HBW_1veh_lo,21,16,7464.5218224
HBW_1veh_lo,21,20,433.55634779
HBW_1veh_lo,21,21,14078.282516416999
HBW_1veh_lo,21,22,792.4436047
HBW_1veh_lo,22,12,568.0138464
HBW_1veh_lo,22,20,43.86829334
HBW_1veh_lo,22,21,731.4450367300001
HBW_1veh_lo,22,22,3100.9368515
HBW_2veh_hi,1,1,8973.13273216
HBW_2veh_hi,1,4,495.42361964
HBW_2veh_hi,1,5,1128.84709224
HBW_2veh_hi,1,8,1338.43861673
HBW_2veh_hi,1,9,287.61561064
HBW_2veh_hi,1,12,128.3406528
HBW_2veh_hi,1,14,155.2604061
HBW_2veh_hi,4,1,1992.61404917
HBW_2veh_hi,4,4,29347.289113286
HBW_2veh_hi,4,5,15754.02536623
HBW_2veh_hi,4,8,24294.63886779
HBW_2veh_hi,4,12,2186.11302
HBW_2veh_hi,4,13,3011.8082455999997
HBW_2veh_hi,4,14,1638.1118157199999
HBW_2veh_hi,4,16,3071.174181453
HBW_2veh_hi,4,17,415.5637592
HBW_2veh_hi,4,20,910.3928432
HBW_2veh_hi,5,1,745.8800664
HBW_2veh_hi,5,4,6852.1125631
HBW_2veh_hi,5,5,16593.26115711
HBW_2veh_hi,5,8,3313.6031538400002
HBW_2veh_hi,5,9,566.81135734
HBW_2veh_hi,5,12,1289.16749524
HBW_2veh_hi,5,13,1404.6075888
HBW_2veh_hi,5,14,857.85537702
HBW_2veh_hi,5,17,87.8733888
HBW_2veh_hi,5,22,733.2562384
HBW_2veh_hi,6,5,163.983034
HBW_2veh_hi,6,9,187.7174205
HBW_2veh_hi,8,4,5059.59109212
HBW_2veh_hi,8,5,17198.43749001
HBW_2veh_hi,8,8,54477.809609788
HBW_2veh_hi,8,9,7804.39452116
HBW_2veh_hi,8,11,1937.3886762
HBW_2veh_hi,8,12,7051.40177639
HBW_2veh_hi,8,13,4775.11817989
HBW_2veh_hi,8,14,9993.94818996
HBW_2veh_hi,8,16,2383.69066267
HBW_2veh_hi,8,17,1269.1319344
HBW_2veh_hi,8,20,616.6160592
HBW_2veh_hi,8,21,846.373544
HBW_2veh_hi,9,8,2141.35083176
HBW_2veh_hi,9,9,13545.180693960001
HBW_2veh_hi,9,11,2032.6338540699999
HBW_2veh_hi,9,12,11714.231881400001
HBW_2veh_hi,9,13,4147.23348037
HBW_2veh_hi,9,14,14895.73852853
HBW_2veh_hi,9,16,2127.5934452700003
HBW_2veh_hi,9,17,1644.6453032000002
HBW_2veh_hi,11,4,473.46708
HBW_2veh_hi,11,9,264.36762
HBW_2veh_hi,11,11,1132.18061573
HBW_2veh_hi,11,12,13538.90967996
HBW_2veh_hi,11,13,1153.053304
HBW_2veh_hi,11,14,8284.601955
HBW_2veh_hi,11,16,47.36862017
HBW_2veh_hi,11,17,514.1687584
HBW_2veh_hi,11,21,23.854104999
HBW_2veh_hi,12,5,67.83383334999999
HBW_2veh_hi,12,8,1244.5267824
HBW_2veh_hi,12,9,3311.8444912
HBW_2veh_hi,12,11,16109.9995462
HBW_2veh_hi,12,12,40634.96371012
HBW_2veh_hi,12,13,7829.64915908
HBW_2veh_hi,12,14,19979.659492669998
HBW_2veh_hi,12,15,1993.1672752
HBW_2veh_hi,12,16,17662.06901481
HBW_2veh_hi,12,17,4931.9836099799995
HBW_2veh_hi,12,20,555.360668
HBW_2veh_hi,12,21,883.85291478
HBW_2veh_hi,12,22,40.98352
HBW_2veh_hi,13,4,256.583217
HBW_2veh_hi,13,13,185.134338038
HBW_2veh_hi,13,14,1863.31953033
HBW_2veh_hi,13,16,662.9465408
HBW_2veh_hi,14,4,689.5515872000001
HBW_2veh_hi,14,5,633.62032
HBW_2veh_hi,14,8,645.017887265
HBW_2veh_hi,14,9,2018.73193748
HBW_2veh_hi,14,11,1166.1588167300001
HBW_2veh_hi,14,12,20027.80400658
HBW_2veh_hi,14,13,10182.54219529
HBW_2veh_hi,14,14,56122.044534956
HBW_2veh_hi,14,16,6725.23696549
HBW_2veh_hi,14,17,3652.59549896
HBW_2veh_hi,14,20,473.474334686
HBW_2veh_hi,14,21,266.39338184
HBW_2veh_hi,15,5,131.40158
HBW_2veh_hi,15,11,907.997992
HBW_2veh_hi,15,12,11033.79745799
HBW_2veh_hi,15,13,3271.3926789199995
HBW_2veh_hi,15,14,3769.61791338
HBW_2veh_hi,15,15,2021.32685775
HBW_2veh_hi,15,16,7986.724772199999
HBW_2veh_hi,15,17,5310.8465572000005
HBW_2veh_hi,15,20,3641.579216
HBW_2veh_hi,15,21,131.29799
HBW_2veh_hi,16,4,507.4594176
HBW_2veh_hi,16,9,1113.6445386999999
HBW_2veh_hi,16,11,3699.38923228
HBW_2veh_hi,16,12,25020.91169429
HBW_2veh_hi,16,13,5162.71584804
HBW_2veh_hi,16,14,17842.08415733
HBW_2veh_hi,16,15,7076.12558999
HBW_2veh_hi,16,16,53556.29293147
HBW_2veh_hi,16,17,19738.33922226
HBW_2veh_hi,16,18,54.27380704
HBW_2veh_hi,16,20,9470.79886948
HBW_2veh_hi,16,21,841.34414512
HBW_2veh_hi,16,22,681.46616
HBW_2veh_hi,17,4,356.94952
HBW_2veh_hi,17,5,1780.170192
HBW_2veh_hi,17,9,673.35330692
HBW_2veh_hi,17,11,6347.1919086
HBW_2veh_hi,17,12,11491.42474279
HBW_2veh_hi,17,13,8283.688295420001
HBW_2veh_hi,17,14,16891.03891566
HBW_2veh_hi,17,15,1086.0469364
HBW_2veh_hi,17,16,15379.53427307
HBW_2veh_hi,17,17,35783.967581356
HBW_2veh_hi,17,18,430.0674649
HBW_2veh_hi,17,20,875.9492148
HBW_2veh_hi,17,21,5700.5307162
HBW_2veh_hi,17,22,604.5674196
HBW_2veh_hi,18,16,223.4073808
HBW_2veh_hi,18,17,223.4073808
HBW_2veh_hi,19,11,243.1212701
HBW_2veh_hi,19,12,1254.4973823999999
HBW_2veh_hi,19,13,171.67592
HBW_2veh_hi,19,14,1099.88673546
HBW_2veh_hi,19,16,3215.85683126
HBW_2veh_hi,19,17,1352.611222
HBW_2veh_hi,19,19,171.67592
HBW_2veh_hi,19,20,5789.0383735000005
HBW_2veh_hi,19,21,1462.24216546
HBW_2veh_hi,20,4,58.74493
HBW_2veh_hi,20,9,160.73935166
HBW_2veh_hi,20,11,724.1974336
HBW_2veh_hi,20,12,3043.44228588
HBW_2veh_hi,20,13,2257.0742808
HBW_2veh_hi,20,14,9857.776541146
HBW_2veh_hi,20,15,1133.14505267
HBW_2veh_hi,20,16,9558.55492162
HBW_2veh_hi,20,17,8267.82552227
HBW_2veh_hi,20,19,609.06197852
HBW_2veh_hi,20,20,54981.445351802
HBW_2veh_hi,20,21,26481.52956134
HBW_2veh_hi,20,22,1945.9932432
HBW_2veh_hi,20,25,156.4584184
HBW_2veh_hi,21,9,19.446324666
HBW_2veh_hi,21,12,748.6633552
HBW_2veh_hi,21,13,1209.8385218399999
HBW_2veh_hi,21,14,951.7996747999999
HBW_2veh_hi,21,15,77.6472392
HBW_2veh_hi,21,16,305.31334400000003
HBW_2veh_hi,21,17,4245.461525639999
HBW_2veh_hi,21,20,11178.2058509
HBW_2veh_hi,21,21,48834.270056335
HBW_2veh_hi,21,22,8472.92552008
HBW_2veh_hi,21,25,267.194872
HBW_2veh_hi,22,9,698.0278335
HBW_2veh_hi,22,11,129.27174
HBW_2veh_hi,22,12,422.66491693
HBW_2veh_hi,22,13,1093.32434646
HBW_2veh_hi,22,14,2167.4169258
HBW_2veh_hi,22,16,969.2335226
HBW_2veh_hi,22,17,318.49116319999996
HBW_2veh_hi,22,20,5330.44780308
HBW_2veh_hi,22,21,33662.83253281
HBW_2veh_hi,22,22,49203.283293536
HBW_2veh_lo,1,1,917.998938
HBW_2veh_lo,1,4,138.12958
HBW_2veh_lo,1,5,372.29681046
HBW_2veh_lo,4,4,3779.6291413299996
HBW_2veh_lo,4,5,3537.4412496
HBW_2veh_lo,4,8,925.607952
HBW_2veh_lo,4,12,419.00295466
HBW_2veh_lo,5,1,1660.8583956
HBW_2veh_lo,5,4,2916.68806078
HBW_2veh_lo,5,5,6866.08857414
HBW_2veh_lo,5,8,629.6937846000001
HBW_2veh_lo,5,14,523.9642335
HBW_2veh_lo,8,4,1772.4102
HBW_2veh_lo,8,5,1406.1117565
HBW_2veh_lo,8,8,4741.49256537
HBW_2veh_lo,8,9,2729.4580615
HBW_2veh_lo,8,12,147.1523
HBW_2veh_lo,8,14,784.88515626
HBW_2veh_lo,9,9,595.05030131
HBW_2veh_lo,9,12,331.79788
HBW_2veh_lo,9,13,95.89991904
HBW_2veh_lo,9,14,1076.3673142100001
HBW_2veh_lo,11,11,827.1522016
HBW_2veh_lo,11,12,2061.3562692
HBW_2veh_lo,11,16,244.9821864
HBW_2veh_lo,12,9,610.64813016
HBW_2veh_lo,12,11,605.6690462
HBW_2veh_lo,12,12,12887.204766106
HBW_2veh_lo,12,13,547.1509404
HBW_2veh_lo,12,14,2847.41606952
HBW_2veh_lo,12,16,1443.60008448
HBW_2veh_lo,12,17,738.1719792
HBW_2veh_lo,12,18,911.8138912
HBW_2veh_lo,12,20,461.5745696
HBW_2veh_lo,12,21,82.7787
HBW_2veh_lo,13,9,160.0424872
HBW_2veh_lo,13,12,716.3712
HBW_2veh_lo,13,13,725.1060622
HBW_2veh_lo,13,14,160.0424872
HBW_2veh_lo,13,22,599.86506
HBW_2veh_lo,14,4,58.04161344
HBW_2veh_lo,14,8,90.849
HBW_2veh_lo,14,11,326.5953776
HBW_2veh_lo,14,12,642.84806241
HBW_2veh_lo,14,13,676.19788264
HBW_2veh_lo,14,14,6416.70784714
HBW_2veh_lo,14,16,324.75841973
HBW_2veh_lo,14,17,98.86003844
HBW_2veh_lo,15,12,219.8650512
HBW_2veh_lo,15,15,997.24142
HBW_2veh_lo,15,16,58.66126
HBW_2veh_lo,15,17,58.66126
HBW_2veh_lo,16,11,103.78342666
HBW_2veh_lo,16,12,893.3366488
HBW_2veh_lo,16,14,321.37411952
HBW_2veh_lo,16,16,1537.5487984
HBW_2veh_lo,16,17,599.2254
HBW_2veh_lo,16,18,24.462563
HBW_2veh_lo,16,20,579.455616
HBW_2veh_lo,17,11,37.51004624
HBW_2veh_lo,17,13,323.7470796
HBW_2veh_lo,17,14,2202.95899639
HBW_2veh_lo,17,15,37.51004624
HBW_2veh_lo,17,16,1131.23526
HBW_2veh_lo,17,17,5126.7139252
HBW_2veh_lo,17,20,198.03304
HBW_2veh_lo,20,19,599.4513
HBW_2veh_lo,20,20,1075.1803299800001
HBW_2veh_lo,20,21,1612.70478
HBW_2veh_lo,21,9,103.9303131
HBW_2veh_lo,21,14,216.62323
HBW_2veh_lo,21,16,103.9303131
HBW_2veh_lo,21,20,6242.33660359
HBW_2veh_lo,21,21,19149.806473497
HBW_2veh_lo,21,22,2477.7992243999997
HBW_2veh_lo,22,20,302.9517
HBW_2veh_lo,22,21,368.68328874
HBW_2veh_lo,22,22,449.17451397
